time[s]	u[ft/s]	v[ft/s]	w[ft/s]	p[rad/s]	q[rad/s]	r[rad/s]	xf[ft]	yf[ft]	zf[ft]	e0	ex	ey	ez
1.9000000000E-01	3.7008841191E+01	0.0000000000E+00	5.3160336354E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	8.1466734812E+00	0.0000000000E+00	-1.9947322262E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
2.0000000000E-01	3.6503029573E+01	0.0000000000E+00	5.5629127689E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	8.5142219822E+00	0.0000000000E+00	-1.9941882581E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
2.1000000000E-01	3.6009973689E+01	0.0000000000E+00	5.8073338495E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	8.8767765869E+00	0.0000000000E+00	-1.9936197256E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
2.2000000000E-01	3.5529157805E+01	0.0000000000E+00	6.0493782926E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	9.2344622515E+00	0.0000000000E+00	-1.9930268705E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
2.3000000000E-01	3.5060092441E+01	0.0000000000E+00	6.2891226026E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	9.5873989072E+00	0.0000000000E+00	-1.9924099266E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
2.4000000000E-01	3.4602312732E+01	0.0000000000E+00	6.5266386668E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	9.9357017152E+00	0.0000000000E+00	-1.9917691203E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
2.5000000000E-01	3.4155376909E+01	0.0000000000E+00	6.7619940282E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.0279481304E+01	0.0000000000E+00	-1.9911046709E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
2.6000000000E-01	3.3718864900E+01	0.0000000000E+00	6.9952521383E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.0618843996E+01	0.0000000000E+00	-1.9904167914E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
2.7000000000E-01	3.3292377025E+01	0.0000000000E+00	7.2264725931E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.0953892013E+01	0.0000000000E+00	-1.9897056884E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
2.8000000000E-01	3.2875532786E+01	0.0000000000E+00	7.4557113515E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.1284723679E+01	0.0000000000E+00	-1.9889715629E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
2.9000000000E-01	3.2467969753E+01	0.0000000000E+00	7.6830209402E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.1611433603E+01	0.0000000000E+00	-1.9882146104E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
3.0000000000E-01	3.2069342515E+01	0.0000000000E+00	7.9084506440E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.1934112857E+01	0.0000000000E+00	-1.9874350214E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
3.1000000000E-01	3.1679321718E+01	0.0000000000E+00	8.1320466847E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.2252849139E+01	0.0000000000E+00	-1.9866329814E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
3.2000000000E-01	3.1297593154E+01	0.0000000000E+00	8.3538523873E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.2567726930E+01	0.0000000000E+00	-1.9858086717E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
3.3000000000E-01	3.0923856929E+01	0.0000000000E+00	8.5739083370E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.2878827641E+01	0.0000000000E+00	-1.9849622693E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
3.4000000000E-01	3.0557826673E+01	0.0000000000E+00	8.7922525257E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.3186229753E+01	0.0000000000E+00	-1.9840939471E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
3.5000000000E-01	3.0199228811E+01	0.0000000000E+00	9.0089204905E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.3490008947E+01	0.0000000000E+00	-1.9832038746E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
3.6000000000E-01	2.9847801881E+01	0.0000000000E+00	9.2239454432E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.3790238230E+01	0.0000000000E+00	-1.9822922178E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
3.7000000000E-01	2.9503295890E+01	0.0000000000E+00	9.4373583926E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.4086988053E+01	0.0000000000E+00	-1.9813591393E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
3.8000000000E-01	2.9165471723E+01	0.0000000000E+00	9.6491882608E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.4380326419E+01	0.0000000000E+00	-1.9804047989E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
3.9000000000E-01	2.8834100578E+01	0.0000000000E+00	9.8594619917E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.4670318996E+01	0.0000000000E+00	-1.9794293535E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
4.0000000000E-01	2.8508963445E+01	0.0000000000E+00	1.0068204655E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.4957029209E+01	0.0000000000E+00	-1.9784329575E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
4.1000000000E-01	2.8189850614E+01	0.0000000000E+00	1.0275439543E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.5240518344E+01	0.0000000000E+00	-1.9774157628E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
