         t[s]                   u[ft/s]               v[ft/s]                 w[ft/s]                p[rad/s]             q[rad/s]            r[rad/s]                x[ft]                  y[ft]                  z[ft]                    e0                   ex                      ey                   ez
   0.1300000000000E+00   0.3263907486574E+03  -0.2008057728023E+01   0.4100070441154E+02   0.4363963089820E-02  -0.1890379294007E-02  -0.1752729673297E-02   0.4124429049575E+02   0.3020880571732E+01  -0.1011142582350E+04  -0.2582151134059E+00   0.9632739414853E+00  -0.1899936326176E-01  -0.7118492157590E-01
   0.1400000000000E+00   0.3263848408829E+03  -0.2154910896768E+01   0.4045414853143E+02   0.5014345400825E-02  -0.1808935594079E-02  -0.2026361969808E-02   0.4442239924421E+02   0.3243177453055E+01  -0.1011960759482E+04  -0.2582385304291E+00   0.9632674113718E+00  -0.1898954664522E-01  -0.7119095946149E-01
   0.1500000000000E+00   0.3263784133548E+03  -0.2300320373254E+01   0.3991174968865E+02   0.5702692813156E-02  -0.1698010172994E-02  -0.2318666806587E-02   0.4760123885961E+02   0.3464120006197E+01  -0.1012773546675E+04  -0.2582652632691E+00   0.9632600771686E+00  -0.1897872959596E-01  -0.7119610484107E-01
   0.1600000000000E+00   0.3263714632244E+03  -0.2444223839275E+01   0.3937356538378E+02   0.6427650588933E-02  -0.1558175050167E-02  -0.2629379904433E-02   0.5078079963297E+02   0.3683724580123E+01  -0.1013580977216E+04  -0.2582954952741E+00   0.9632519025771E+00  -0.1896687382577E-01  -0.7120018960708E-01
   0.1700000000000E+00   0.3263639884832E+03  -0.2586561107544E+01   0.3883965130468E+02   0.7187876235559E-02  -0.1389998884897E-02  -0.2958230070019E-02   0.5396107196145E+02   0.3902007338154E+01  -0.1014383084029E+04  -0.2583294032426E+00   0.9632428527467E+00  -0.1895394112978E-01  -0.7120304886983E-01
   0.1800000000000E+00   0.3263559879337E+03  -0.2727274091515E+01   0.3831006133107E+02   0.7982039841543E-02  -0.1194046955641E-02  -0.3304939547364E-02   0.5714204634785E+02   0.4118984258288E+01  -0.1015179899676E+04  -0.2583671574786E+00   0.9632328942524E+00  -0.1893989342798E-01  -0.7120452094812E-01
   0.1900000000000E+00   0.3263474611623E+03  -0.2866306774847E+01   0.3778484753940E+02   0.8808824391072E-02  -0.9708811365256E-03  -0.3669224359070E-02   0.6032371340023E+02   0.4334671133584E+01  -0.1015971456356E+04  -0.2584089218480E+00   0.9632219950706E+00  -0.1892469280516E-01  -0.7120444735916E-01
   0.2000000000000E+00   0.3263384085111E+03  -0.3003605180562E+01   0.3726406020792E+02   0.9666926058086E-02  -0.7210598711819E-03  -0.4050794637511E-02   0.6350606383150E+02   0.4549083572619E+01  -0.1016757785901E+04  -0.2584548538376E+00   0.9632101245550E+00  -0.1890830154937E-01  -0.7120267280797E-01
   0.2100000000000E+00   0.3263288310503E+03  -0.3139117339963E+01   0.3674774782223E+02   0.1055505448056E-01  -0.4451381440170E-03  -0.4449354946194E-02   0.6668908845905E+02   0.4762236999992E+01  -0.1017538919779E+04  -0.2585051046140E+00   0.9631972534123E+00  -0.1889068218893E-01  -0.7119904517614E-01
   0.2200000000000E+00   0.3263187305509E+03  -0.3272793261365E+01   0.3623595708097E+02   0.1147193301569E-01  -0.1436674490112E-03  -0.4864604591491E-02   0.6987277820445E+02   0.4974146656892E+01  -0.1018314889090E+04  -0.2585598190856E+00   0.9631833536770E+00  -0.1887179752804E-01  -0.7119341550996E-01
