 alpha[deg],CL,CD,Cm
  -180.00000000000000      ,  -6.4733113944037837E-007 ,   1.3632688387956926E-006 ,  -7.6446330689604159E-008
  -179.00000000000000      ,   6.0835279399551955E-004 ,   1.2155159715638899E-005 ,   2.4208695226190616E-004
  -178.00000000000000      ,   2.4336483789344845E-003 ,   8.6716157853995433E-005 ,   9.6829506592951270E-004
  -177.00000000000003      ,   5.4696783821181318E-003 ,   2.8860462767641164E-004 ,   2.1776630762626536E-003
  -175.99999999999997      ,   9.7071921979274400E-003 ,   6.8099139521904134E-004 ,   3.8687175068087974E-003
  -174.99999999999997      ,   1.5133275270841979E-002 ,   1.3264672261079290E-003 ,   6.0393980183694185E-003
  -174.00000000000000      ,   2.1731384862091231E-002 ,   2.2868519150032094E-003 ,   8.6870599193400282E-003
  -173.00000000000000      ,   2.9481395870362786E-002 ,   3.6230055162807116E-003 ,   1.1808477388053244E-002
  -172.00000000000000      ,   3.8359656580359870E-002 ,   5.3946422395318014E-003 ,   1.5399847403202832E-002
  -171.00000000000000      ,   4.8339054185780356E-002 ,   7.6601475265605000E-003 ,   1.9456794377575578E-002
  -170.00000000000000      ,   5.9389089906335318E-002 ,   1.0476398817623543E-002 ,   2.3974375489457314E-002
  -169.00000000000000      ,   7.1475963492179204E-002 ,   1.3898590504656182E-002 ,   2.8947086705239929E-002
  -168.00000000000000      ,   8.4562666883043119E-002 ,   1.7980063557909355E-002 ,   3.4368869485899865E-002
  -167.00000000000000      ,   9.8609086764442300E-002 ,   2.2772140299543865E-002 ,   4.0233118169211560E-002
  -166.00000000000003      ,  0.11357211573859501      ,   2.8323964783659145E-002 ,   4.6532688018716226E-002
  -164.99999999999997      ,  0.12940577180407217      ,   3.4682349227137151E-002 ,   5.3259903929674487E-002
  -164.00000000000000      ,  0.14606132581522355      ,   4.1891626918931384E-002 ,   6.0406569781426257E-002
  -163.00000000000000      ,  0.16348743657044157      ,   4.9993512017884552E-002 ,   6.7963978424801730E-002
  -162.00000000000000      ,  0.18163029315720658      ,   5.9026966630368910E-002 ,   7.5922922292458561E-002
  -160.99999999999997      ,  0.20043376416180761      ,   6.9028075539129791E-002 ,   8.4273704619266976E-002
  -160.00000000000000      ,  0.21983955333260710      ,   8.0029928933940606E-002 ,   9.3006151259128436E-002
  -159.00000000000000      ,  0.23978736126781836      ,   9.2062513472757096E-002 ,  0.10210962308389662     
  -158.00000000000000      ,  0.26021505268201689      ,  0.10515261197946532      ,  0.11157302894936633     
  -156.99999999999997      ,  0.28105882878999799      ,  0.11932371206075656      ,  0.12138483921261482     
  -156.00000000000000      ,  0.30225340433241071      ,  0.13459592390030964      ,  0.13153309978432662     
  -155.00000000000000      ,  0.32373218875437376      ,  0.15098590746369583      ,  0.14200544669908388     
  -154.00000000000003      ,  0.34542747103673777      ,  0.16850680932156806      ,  0.15278912118599716     
  -153.00000000000000      ,  0.36727060766911179      ,  0.18716820927269806      ,  0.16387098522144863     
  -152.00000000000000      ,  0.38919221324484843      ,  0.20697607692195411      ,  0.17523753754516594     
  -151.00000000000000      ,  0.41112235315046358      ,  0.22793273834090844      ,  0.18687493012028186     
  -150.00000000000003      ,  0.43299073781579317      ,  0.25003685291188688      ,  0.19876898501754162     
  -149.00000000000000      ,  0.45472691798621262      ,  0.27328340042833882      ,  0.21090521170329810     
