         t[s]                   u[ft/s]               v[ft/s]                 w[ft/s]                p[rad/s]             q[rad/s]            r[rad/s]                x[ft]                  y[ft]                  z[ft]                    e0                   ex                      ey                   ez
   0.0000000000000E+00   0.1767777777778E+02   0.0000000000000E+00  -0.1767777777778E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00  -0.1000000000000E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.1000000000000E-01   0.1764884022021E+02   0.0000000000000E+00  -0.1732736271427E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.1766327968444E+00   0.0000000000000E+00  -0.1175024972721E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.2000000000000E-01   0.1762025197554E+02   0.0000000000000E+00  -0.1697781496154E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.3529779687821E+00   0.0000000000000E+00  -0.1346550145292E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.3000000000000E-01   0.1759200811453E+02   0.0000000000000E+00  -0.1662911791426E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.5290389843027E+00   0.0000000000000E+00  -0.1514584107607E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.4000000000000E-01   0.1756410369825E+02   0.0000000000000E+00  -0.1628125519021E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.7048192625574E+00   0.0000000000000E+00  -0.1679135284625E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.5000000000000E-01   0.1753653377539E+02   0.0000000000000E+00  -0.1593421062972E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.8803221732485E+00   0.0000000000000E+00  -0.1840211938594E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.6000000000000E-01   0.1750929337943E+02   0.0000000000000E+00  -0.1558796829544E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.1055551036491E+01   0.0000000000000E+00  -0.1997822171278E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.7000000000000E-01   0.1748237752600E+02   0.0000000000000E+00  -0.1524251247226E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.1230509122649E+01   0.0000000000000E+00  -0.2151973926177E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.8000000000000E-01   0.1745578121009E+02   0.0000000000000E+00  -0.1489782766756E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.1405199652140E+01   0.0000000000000E+00  -0.2302674990755E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.9000000000000E-01   0.1742949940330E+02   0.0000000000000E+00  -0.1455389861161E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.1579625795219E+01   0.0000000000000E+00  -0.2449932998661E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
