         t[s]                   u[ft/s]               v[ft/s]                 w[ft/s]                p[rad/s]             q[rad/s]            r[rad/s]                x[ft]                  y[ft]                  z[ft]                    e0                   ex                      ey                   ez
   0.0000000000000E+00   0.3535530000000E+02   0.0000000000000E+00  -0.3535530000000E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00  -0.1000000000000E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.1000000000000E-01   0.3524094019402E+02   0.0000000000000E+00  -0.3491971970783E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.3529801596062E+00   0.0000000000000E+00  -0.1351373193246E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.2000000000000E-01   0.3512782120240E+02   0.0000000000000E+00  -0.3448640734436E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.7048229398854E+00   0.0000000000000E+00  -0.1698401953829E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.3000000000000E-01   0.3501592557079E+02   0.0000000000000E+00  -0.3405532648627E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.1055540661479E+01   0.0000000000000E+00  -0.2041108778396E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.4000000000000E-01   0.3490523611753E+02   0.0000000000000E+00  -0.3362644133144E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.1405145471855E+01   0.0000000000000E+00  -0.2379515802479E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.5000000000000E-01   0.3479573592666E+02   0.0000000000000E+00  -0.3319971668581E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.1753649347998E+01   0.0000000000000E+00  -0.2713644806638E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.6000000000000E-01   0.3468740834105E+02   0.0000000000000E+00  -0.3277511795078E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.2101064099034E+01   0.0000000000000E+00  -0.3043517222482E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.7000000000000E-01   0.3458023695571E+02   0.0000000000000E+00  -0.3235261111086E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.2447401368783E+01   0.0000000000000E+00  -0.3369154138557E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.8000000000000E-01   0.3447420561124E+02   0.0000000000000E+00  -0.3193216272172E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.2792672638248E+01   0.0000000000000E+00  -0.3690576306123E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.9000000000000E-01   0.3436929838748E+02   0.0000000000000E+00  -0.3151373989858E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.3136889228041E+01   0.0000000000000E+00  -0.4007804144801E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
